entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
democratic;695;None;None;0.118094;None;None;None;None;0.0201;None;None;None;None;None;0.037982;None;-0.048652999999999995;0.065134;0.117993;None;-0.010502;0.106262;0.12316300000000001;0.044912;None;0.13814200000000001;-0.023919;0.13535999999999998;0.061439999999999995;None;0.164324;None;0.037887;None;None;None;None;0.0;None;None;None;None;None
Republican;688;None;None;0.093409;None;None;None;None;-0.02449;None;None;None;None;None;0.09499099999999999;None;0.09056;0.11011900000000001;0.02338;None;0.018818;-0.005492;-0.0009880000000000002;0.10263900000000001;None;0.049904000000000004;0.04415;0.079782;0.11924900000000001;None;0.08952;None;0.056071;None;None;None;None;None;None;None;None;None
syrian;679;None;None;-0.064397;None;None;None;None;-0.08748600000000001;None;None;None;None;None;-0.041912;None;-0.2202;-0.022931;0.062872;None;-0.041027;-0.088956;0.07006;-0.098343;None;0.088225;-0.055292999999999995;0.055675;-0.09300399999999999;None;-0.064206;None;-0.02021;None;None;None;None;-0.0759;None;None;None;None;None
Sunday;655;None;None;-0.046352;None;None;None;None;-0.115416;None;None;None;None;None;-0.159472;None;0.038256;-0.041388999999999995;-0.057586;None;-0.03449;-0.018364;0.023497;-0.025028;None;-0.013909;-0.06640900000000001;-0.007312000000000001;0.029403;None;-0.11816800000000001;None;-0.030391;None;None;None;None;-0.165929;None;None;None;None;None
last week;645;None;None;-0.02109;None;None;None;None;-0.0216;None;None;None;None;None;-0.018930000000000002;None;-0.09797;-0.005411;-0.098036;None;-0.014496;-0.028881999999999998;0.045777;-0.027750999999999998;None;0.018907;0.031432;0.045361;-0.025458;None;-0.0050799999999999994;None;-0.08647300000000001;None;None;None;None;0.103833;None;None;None;None;None
10;638;None;None;-0.072617;None;None;None;None;0.0;-0.031568;None;None;None;None;None;0.00648;None;0.07107999999999999;0.019211000000000002;0.068905;None;0.047662;-0.108509;0.008526;-0.06327;None;0.105867;-0.009817;0.01804;-0.059664;None;-0.054983000000000004;None;-0.031291;None;None;None;None;0.039064999999999996;None;None;None;None;None
muslim;611;None;None;0.057335000000000004;None;None;None;None;-0.09766699999999999;None;None;None;None;None;0.065483;None;0.0;0.06364;0.021329;None;0.052913999999999996;-0.145178;-0.058136;-0.098718;None;-0.082636;-0.024352000000000002;0.14044500000000001;-0.073418;None;-0.029206;None;-0.017027;None;None;None;None;0.015312000000000001;None;None;None;None;None
Texas;607;None;None;-0.117306;None;None;None;None;-0.0036950000000000004;None;None;None;None;None;0.008833;None;-0.074;-0.049196;0.029016000000000004;None;-0.098911;0.11898299999999999;-0.03567;-0.03368;None;-0.06392;-0.041739;0.043401999999999996;-0.027244;None;0.000412;None;-0.087012;None;None;None;None;0.02605;None;None;None;None;None
Florida;599;None;None;0.010621;None;None;None;None;-0.034512;None;None;None;None;None;0.05235599999999999;None;-0.10658800000000002;0.0144;0.023472999999999997;None;-0.068146;-0.050529000000000004;-0.055473;0.003074;None;-0.022856;-0.055328999999999996;-0.045065;-0.047882999999999995;None;-0.023776;None;-0.026933;None;None;None;None;0.068913;None;None;None;None;None
five;591;None;None;-0.064175;None;None;None;None;-0.08014299999999999;None;None;None;None;None;-0.037054000000000004;None;0.022729;-0.09053;-0.13783399999999998;None;-0.11165;0.040858;-0.052483;0.071663;None;-0.068649;-0.069381;-0.060587;0.06250900000000001;None;-0.22742800000000002;None;-0.13939300000000002;None;None;None;None;-0.21089000000000002;None;None;None;None;None
2012;584;None;None;0.014837999999999999;None;None;None;None;0.0;-0.06437999999999999;None;None;None;None;None;-0.007293000000000001;None;0.0754;-0.046858;0.0025559999999999997;None;0.037016;0.00884;0.12405999999999999;0.016485;None;-0.040381;-0.035126;-0.034071;0.020077;None;-0.053474;None;-0.100221;None;None;None;None;-0.034793;None;None;None;None;None
2013;576;None;None;-0.097311;None;None;None;None;0.0;0.0857;None;None;None;None;None;-0.04143;None;0.072287;-0.022831999999999998;-0.059251;None;-0.01866;0.09853200000000001;-0.076612;0.010424;None;-0.0037159999999999997;-0.056521;0.02144;-0.004729;None;0.00621;None;-0.107886;None;None;None;None;0.010725;None;None;None;None;None
month;551;None;None;-0.036565;None;None;None;None;-0.128689;None;None;None;None;None;-0.044409;None;-0.131675;-0.097371;0.049264999999999996;None;-0.015003;-0.077056;-0.060619000000000006;-0.063194;None;-0.078404;-0.021874;-0.003083;-0.032441000000000005;None;-0.178678;None;-0.09742100000000001;None;None;None;None;-0.036669;None;None;None;None;None
