entity;occur;04/2016;04/2017;08/2016;12/2016;02/2016;02/2017;01/2016;01/2017;07/2016;06/2016;06/2017;03/2016;03/2017;05/2016;11/2016;10/2016;09/2016;04/2015;12/2014;12/2015;01/2015;05/2015;05/2017;11/2015;09/2015;08/2014;08/2015;02/2014;02/2015;01/2014;07/2014;07/2015;06/2014;06/2015;03/2014;03/2015;05/2014;11/2014;10/2014;10/2015;09/2014;07/2017;04/2014
Mideast;168;-0.07119;-0.004621782608695652;-0.008000000000000002;-0.02368571428571428;0.1781998;-0.13945833333333332;-0.07705000000000001;0.02238627272727273;0.056575;0.18233325;0.07224;0.14038571428571428;0.09038333333333333;0.0;0.10606666666666666;-0.35704;-0.05852222222222222;0.09866699999999999;None;0.0;0.0;None;0.13899;None;None;None;None;None;0.025733;None;None;None;None;None;None;-0.27115;None;None;None;None;None;None;None
Foley;168;-0.064;-0.05303333333333333;0.02828033333333334;-0.031857947368421055;-0.10893333333333333;-0.08823627272727273;0.07718888888888889;0.08073157894736842;-0.032;0.0729383076923077;None;-0.03266666666666667;-0.017116666666666665;-0.12034444444444443;-0.167875;0.11193333333333333;0.2106398;0.1702;None;None;0.0671;-0.0276;None;None;None;-0.48325;None;None;0.0;None;None;0.55005;None;None;None;None;None;None;None;None;None;None;None
thousand of mile;168;0.12083749999999999;-0.028719949999999994;0.063825;0.009910000000000002;-0.15055714285714286;0.03777777777777778;-0.03557142857142857;-0.05297333333333333;0.016437624999999997;0.0;0.0;-0.2787;-0.014930769230769235;0.17020000000000002;-0.0689375;-0.006142857142857149;0.0;-0.26626700000000003;None;None;-0.19531700000000002;0.0;-0.007900076923076926;None;None;None;0.0;None;0.0;None;None;None;None;0.0;None;-0.2165;None;0.1779;None;None;None;0.0;None
Benedict;168;0.023862750000000016;0.051100375;0.0;0.046880000000000005;0.1053402;0.0;-0.296;0.0;-0.08332;-0.0777835;-0.08251333333333336;None;0.03227343333333334;0.6369;-0.0796125;-0.028650125000000002;-0.019271428571428568;None;None;None;0.24975;None;0.061530769230769236;None;None;None;None;None;-0.180767;None;None;0.1702;None;0.0;None;0.1991;None;None;None;None;None;None;None
43 %;168;0.0;0.07143316666666666;0.020158823529411764;-0.12055;0.2248142857142857;0.018400000000000007;0.10047499999999998;-0.0014;0.1835000909090909;0.006815384615384616;0.08340033333333333;-0.021740000000000002;-0.12765;-0.1091;0.04653529411764706;-0.07765882352941178;0.09410005555555556;0.0;None;None;0.4939;None;0.0;None;None;None;None;None;None;None;None;0.47965;None;-0.093343;None;-0.0516;None;None;None;None;None;None;None
just this week;168;0.19063333333333332;0.02276675;0.0;-0.02735;0.0;-0.02010769230769231;0.07025000000000002;-0.07073316666666667;0.0;-0.04205392307692308;0.0;0.020112249999999998;0.11126363636363636;0.0;0.042390000000000004;-0.06554285714285714;0.058463727272727264;0.0;None;0.0;None;None;0.049300000000000004;None;None;None;None;None;0.0;None;None;0.08038;None;0.22735;None;None;None;None;None;None;None;None;None
the Eastern District;168;0.09076666666666666;-0.09444271428571428;0.0;0.11553636363636363;0.0;0.07024999999999999;0.125;0.03615711428571428;-0.032888888888888884;0.4019;-0.04939;0.0;0.07749478947368423;0.0526875;-0.026471357142857147;0.12042857142857143;0.0;0.05135;None;None;0.0;0.0;0.01005;None;None;None;None;None;None;None;None;0.0;None;None;None;None;None;None;None;None;None;None;None
early this year;168;-0.00378;-0.0024999230769230793;0.03415733333333333;-0.07585454545454545;0.14595;-0.07955;0.06698333333333333;-0.123475;-0.02969411764705882;-0.04898888888888889;-0.004000166666666666;0.0;0.2054625;-0.0422375;0.046;0.014426733333333332;-0.2682111111111112;0.0;None;None;None;0.0;0.12765;None;None;None;None;None;None;None;None;0.0;None;None;None;None;None;None;None;None;None;0.0;None
Cornell University;167;0.05820007692307693;0.0252;-0.025379999999999996;0.0121301;-0.042859999999999995;0.012643749999999999;0.0;0.08452508333333335;0.0;0.08037999999999998;0.0;0.0;0.03392727272727272;0.0;-0.008915461538461542;0.0;0.039775;None;None;None;0.0;None;0.08778333333333332;None;None;None;0.0;None;None;None;None;None;None;None;0.0;0.0;None;None;None;None;None;None;None
7th;167;0.022899999999999997;0.16075999999999996;0.00516;-0.049833333333333334;-0.18183333333333332;0.045533333333333335;0.05023749999999999;0.10606666666666668;-0.058546400000000005;0.0;-0.01640594117647059;0.13075;0.10016683333333336;0.0;0.10650833333333332;0.12179973333333333;0.05741428571428571;None;None;0.0;None;0.4588;0.0;None;None;None;None;None;None;None;None;None;None;0.0;None;0.0;None;None;None;None;None;0.0;None
more than $ 1 million;167;0.08322299999999999;0.12607788888888888;0.012933333333333337;0.05153333333333334;-0.0843;-0.04192857142857142;-0.06759990909090909;0.040737625;-0.03507272727272727;0.03232857142857143;0.048883333333333334;0.05708571428571429;0.08464666666666668;0.002233333333333328;0.14404;-0.025491666666666662;0.13205714285714285;None;None;None;0.5267;None;-0.0205398;None;None;None;-0.3612;None;None;None;None;0.0;None;None;None;0.11315;None;None;None;None;None;None;None
Trevor Noah;166;0.2559;-0.028099900000000004;0.00597777777777778;0.09705470967741935;-0.1858;0.04061973333333334;-0.013566666666666652;0.005211111111111111;0.0;0.058300000000000005;0.1372163333333333;None;0.1304;-0.13396666666666665;0.057377666666666674;0.0;0.0;0.0;None;0.0;None;0.0;0.11015000000000001;None;None;None;0.2263;None;None;None;None;None;None;None;None;0.233525;None;None;None;None;None;None;None
South Africa xe2x80x99s;166;0.0;0.0725875;0.10307200000000001;0.0016833333333333362;-0.07655;0.09748;0.0;0.0;0.11315;-0.1179625;-0.18013737500000002;0.0;-0.056047473684210515;0.12562500000000001;-0.09538866666666666;0.00023846153846154635;-0.05233308333333333;-0.311033;None;None;0.081225;None;-0.4317333333333333;None;None;None;None;None;None;None;None;None;None;0.0;None;None;None;None;None;None;None;0.2473;None
Tallahassee;166;0.0;0.0;0.05321649999999998;-0.06810000000000001;-0.0222375;-0.02935;0.02506999999999999;0.039028571428571426;-0.01897979999999999;0.07003;0.0;0.0;-0.1084602;0.0;0.0;-0.035673684210526316;-0.060030611111111104;0.050875;None;0.0;None;0.1589;0.07830000000000001;None;None;None;None;None;None;None;None;0.0903;None;-0.6705;None;-0.230267;None;None;None;None;None;None;None
early Tuesday;166;0.0;-0.05132516666666667;0.024371428571428575;-0.20682;-0.041137499999999994;-0.045533333333333335;0.14964;-0.04917986666666667;-0.32526666666666665;-0.0677875;-0.182211;-0.0903;-0.02478999999999999;-0.1285;-0.03862358823529412;-0.2873;-0.07369990909090908;None;None;None;0.0;None;-0.10027777777777779;None;None;None;None;None;None;None;None;0.0;None;-0.6249;None;-0.296;None;None;None;None;None;None;None
Tamir Rice;166;-0.3116501428571429;-0.273925;-0.18046;-0.5267;0.0;-0.14985;-0.14787986666666667;-0.42685;-0.11405935135135134;-0.356475;-0.09702857142857144;-0.148;-0.26166;-0.12337157142857144;-0.29950000000000004;0.4939;-0.27983325000000003;0.0;None;-0.27115;-0.10865;-0.6468;-0.17132857142857144;None;None;None;None;None;None;None;None;0.1204;None;-0.047639999999999995;None;0.0;None;None;None;None;None;None;None
1937;166;0.040459999999999996;-0.1484909090909091;0.003857142857142853;0.0;0.20577142857142855;0.12312000000000001;-0.002999999999999999;0.07585;0.0;-0.01973627272727274;0.0;None;0.04708181818181818;-0.11175;-0.03771666666666667;0.001955555555555556;-0.115725;None;0.4404;None;None;None;0.0;None;None;None;None;None;None;None;None;0.0;None;-0.0649;None;-0.6249;None;None;None;None;None;0.0;None
Oxford University;166;0.033716666666666666;-0.010992307692307694;0.05159999999999999;-0.06597;0.0;0.11459411764705882;0.0;0.08186428571428572;0.05159999999999999;0.057414428571428575;0.0803802;0.034709181818181827;0.07055714285714286;-0.033716666666666666;0.0;0.0;-0.059199999999999996;None;None;0.0;None;None;0.1125;None;None;None;0.0;None;None;None;None;0.0129;None;None;None;0.0;None;None;None;None;None;None;None
D. C. xe2x80x99s;165;0.11695016666666665;-0.12846923076923078;-0.29443;0.039028571428571426;-0.146237625;0.028075250000000013;0.05168654545454543;-0.0376301;0.0959264;-0.19125;-0.08430000000000001;-0.09478888888888888;0.04810012500000001;0.03302;0.24695;0.08038;-0.02110881818181818;0.0;None;0.0;0.0;None;0.0;None;None;None;None;None;None;None;None;None;None;None;None;0.0;None;None;None;None;None;0.0;None
the Human Rights Campaign;165;-0.011112499999999992;0.0256;0.13204983333333334;-0.06817272727272727;-0.0476;0.15524455555555555;0.23311781818181815;0.10515333333333335;0.11827999999999998;-0.027014285714285716;-0.15304444444444443;0.114625;0.067911;0.030619799999999996;0.06364;0.0;0.1909;0.0;None;None;0.0;0.0;-0.0903;None;None;None;None;None;None;None;None;None;None;0.0;None;0.0;None;None;None;None;None;None;None
