entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
democratic;2484;None;None;0.042707999999999996;None;None;None;None;0.085746;0.085638;None;None;None;None;None;0.097558;None;0.087492;0.131207;0.145019;None;-0.00783;0.088398;None;0.045637;None;0.10298299999999999;0.060941999999999996;0.035953;0.14344500000000002;None;0.078483;None;0.099469;None;None;None;None;0.10313699999999999;None;None;None;None;None
Hillary;2383;None;None;0.008742;None;None;None;None;0.0;0.009803000000000001;None;None;None;None;None;-0.011899;None;0.004526;0.090749;0.29295;None;-0.068622;-0.177063;None;0.206483;None;0.026372000000000003;0.058811;0.141677;0.0119;None;0.062137;None;-0.005722;None;None;None;None;0.04437;None;None;None;None;None
Atlantic;2354;None;None;-0.054662;None;None;None;None;0.0;0.081584;None;None;None;None;None;0.021429;None;-0.003954;-0.005790999999999999;0.025858999999999997;None;0.000315;0.0057090000000000005;None;0.020134;None;0.014397;-0.0074659999999999995;0.110456;0.014638;None;0.005459;None;0.036308;None;None;None;None;0.067415;None;None;None;None;None
Russia;2352;None;None;0.08837;None;None;None;None;-0.0095;None;None;None;None;None;0.03142;None;0.037787;0.07104500000000001;0.03143;None;0.017903;-0.013503;None;-0.006841;None;-0.001379;0.0027719999999999997;0.274811;-0.004901;None;0.040244;None;-0.07257999999999999;None;None;None;None;0.012092;None;None;None;None;None
Congress;2344;None;None;-0.022940000000000002;None;None;None;None;0.0;0.041365;None;None;None;None;None;0.039497000000000004;None;-0.029772000000000003;0.017628;0.076545;None;0.024513;0.010733;None;0.039325;None;0.05613099999999999;0.026501;0.058013;0.020615;None;0.010159;None;-0.014936000000000001;None;None;None;None;0.043113;None;None;None;None;None
GOP;2191;None;None;0.036455;None;None;None;None;0.015882;None;None;None;None;None;0.065278;None;0.061325;0.039109;0.066526;None;0.01294;0.047168;None;0.0047350000000000005;None;0.059301;0.03754;0.031195999999999998;0.043606;None;-0.020377000000000003;None;-0.016859;None;None;None;None;0.012115;None;None;None;None;None
Senate;2190;None;None;0.055479999999999995;None;None;None;None;-0.0011949999999999999;None;None;None;None;None;0.07268;None;0.037811000000000004;0.046389;-0.0013289999999999999;None;0.040777999999999995;0.07565;None;0.03088;None;0.034664;0.033539;0.043191;0.00534;None;-0.015558;None;0.08747;None;None;None;None;0.029287;None;None;None;None;None
1;2095;None;None;0.029024;None;None;None;None;0.0;0.013863;None;None;None;None;None;0.021381999999999998;None;0.0015609999999999999;-0.00999;-0.024516999999999997;None;0.00101;-0.022813999999999997;None;0.033750999999999996;None;0.006914;0.007441;0.002874;-0.003264;None;-0.014403999999999998;None;0.002781;None;None;None;None;0.008998;None;None;None;None;None
second;2081;None;None;0.004721;None;None;None;None;0.32985;0.021086;None;None;None;None;None;0.038535;None;-0.002914;-0.005046;0.027231;None;0.009804;0.016216;None;0.021768;None;0.035598000000000005;0.012597;-0.015702;0.005779;None;0.031099;None;0.000412;None;None;None;None;0.022269999999999998;None;None;None;None;None
American;2015;None;None;0.029313;None;None;None;None;-0.006903;None;None;None;None;None;0.049273000000000004;None;0.050581;-0.07053200000000001;-0.079215;None;0.102672;0.038201;None;0.033235;None;0.07234299999999999;0.042362000000000004;0.018441;0.048683;None;-0.012532;None;0.011855;None;None;None;None;-0.023984000000000002;None;None;None;None;None
russian;1835;None;None;0.10115;None;None;None;None;0.057166999999999996;None;None;None;None;None;-0.004988;None;0.07131799999999999;-0.066804;-0.12815;None;0.04476;0.040154;None;0.024966;None;0.033487;0.011323999999999999;0.04718;-0.076598;None;-0.045767;None;0.15546500000000002;None;None;None;None;-0.009187;None;None;None;None;None
2;1783;None;None;0.005422;None;None;None;None;0.0;-0.037516;None;None;None;None;None;0.010581;None;-0.032536;0.009056999999999999;0.025648;None;0.005497999999999999;0.042970999999999995;None;-0.020122;None;0.00757;-0.022104;0.018769;-0.028991686956521736;None;0.015299;None;0.025794;None;None;None;None;-0.02795;None;None;None;None;None
China;1710;None;None;-0.008664;None;None;None;None;0.038668;None;None;None;None;None;0.0017579999999999998;None;-0.052733;0.041223;-0.204733;None;0.001745;0.016992;None;0.07297000000000001;None;0.052705999999999996;0.025093;0.105375;0.028047000000000002;None;-0.00675;None;0.051841;None;None;None;None;-0.012749;None;None;None;None;None
Donald;1702;None;None;None;None;None;None;0.024871;None;None;None;None;None;0.016112;None;0.044606;0.065737;-0.087671;None;-0.158956;-0.011643;None;0.071925;None;0.045197;0.029592;0.10421500000000002;-0.10751;None;0.002814;None;0.010317;None;None;None;None;-0.0023120000000000003;None;None;None;None;None
Sanders;1680;None;None;0.023645;None;None;None;None;0.0129;0.14107999999999998;None;None;None;None;None;0.053925;None;0.08374;0.044034;0.15187;None;0.19905599999999998;0.10297200000000001;None;-0.06364;None;0.10599700000000001;-0.021553;0.071482;0.054783000000000005;None;0.11556199999999998;None;0.08017300000000001;None;None;None;None;0.104656;None;None;None;None;None
would;1663;None;None;0.036517;None;None;None;None;0.0;0.031973;None;None;None;None;None;0.049984;None;0.058662;0.10188;0.104771;None;0.038708;0.0031420000000000003;None;0.042517;None;0.15068;-0.00088;0.049011;0.037343;None;0.011626000000000001;None;0.11619700000000001;None;None;None;None;0.116372;None;None;None;None;None
the White House;1651;None;None;0.038127999999999995;None;None;None;None;0.099397;None;None;None;None;None;0.026935;None;0.1052;0.021865;0.040473;None;0.014147999999999999;-0.006071;None;-0.0075729588607594935;None;0.056260000000000004;0.005994;0.18946;-0.013313;None;0.03137;None;-0.13373800000000002;None;None;None;None;0.076038;None;None;None;None;None
2015;1528;None;None;-0.006325;None;None;None;None;0.0;0.006379;None;None;None;None;None;-0.041296;None;-0.017282;-0.006594;-0.040764;None;-0.018017;-0.007638;None;0.017478;None;0.0048189999999999995;0.044913999999999996;0.0397;-0.003418;None;-3.4e-05;None;0.027193000000000002;None;None;None;None;-0.11561300000000001;None;None;None;None;None
ISIS;1526;None;None;-0.070143;None;None;None;None;-0.09948;None;None;None;None;None;-0.11840099999999999;None;-0.095943;-0.187224;-0.1296;None;-0.11021900000000001;-0.19319;None;-0.151531;None;-0.117474;-0.08014199999999999;-0.197344;-0.136104;None;-0.131639;None;-0.10721199999999999;None;None;None;None;-0.14536;None;None;None;None;None
